DrugDose,Exercise,Baseline,Delta,Post
0,0,227.8,0.4494659221225985,228.2494659221226
0,0,273.7,-0.9770532826293722,272.72294671737063
0,0,235.6,0.18999785936724517,235.78999785936725
0,0,236.2,0.7314533573001769,236.93145335730017
0,0,220,-0.492599110754294,219.5074008892457
10,0,245.9,-5.042684912173995,240.857315087826
10,0,245.3,-5.112670576433895,240.18732942356613
10,0,240.6,-4.543172752273568,236.05682724772643
10,0,248.4,-2.9796651582332307,245.4203348417668
10,0,256.4,-6.0508900624530595,250.34910993754693
20,0,238.3,-9.265347894104812,229.0346521058952
20,0,230.6,-9.460750256048453,221.13924974395155
20,0,238.3,-11.314272796950364,226.98572720304963
20,0,250.2,-10.250038722057875,239.94996127794212
20,0,247.7,-9.685795403563173,238.01420459643683
0,30,239.4,-0.7934533063217282,238.60654669367827
0,30,267.8,-0.20557940020947685,267.5944205997905
0,30,255.1,-0.34423156824223444,254.75576843175776
0,30,257.6,-1.0028710831474799,256.59712891685257
0,30,245.6,-0.365674962454987,245.234325037545
10,30,253.4,-2.353209847592262,251.04679015240774
10,30,280.1,-1.2458947453922913,278.85410525460776
10,30,265.2,-5.349260001567039,259.85073999843297
10,30,245.5,-2.2288797302899788,243.27112026971002
10,30,234.6,-2.0549384267074675,232.54506157329251
20,30,246,-5.725400626098731,240.27459937390128
20,30,247,-4.9496798972258285,242.05032010277418
20,30,252,-5.629406611369704,246.37059338863028
20,30,252.2,-5.3825196221469644,246.81748037785303
20,30,255.4,-5.303310466384681,250.09668953361532
0,60,260.1,-3.03383820321184,257.0661617967882
0,60,281.1,-3.6710537872032774,277.42894621279675
0,60,241.9,-2.783950393903242,239.11604960609677
0,60,233.9,-1.8832441976368166,232.01675580236318
0,60,244.4,-2.5779685438112065,241.8220314561888
10,60,242.7,-1.3957419613367237,241.30425803866328
10,60,254.1,-2.6740595508535807,251.42594044914642
10,60,242.8,-1.6021103383246373,241.19788966167536
10,60,262,-0.23553412025884057,261.7644658797412
10,60,234.9,-1.4233794085238711,233.47662059147615
20,60,251.6,0.49715674990078806,252.0971567499008
20,60,232.7,-0.5767244549315901,232.1232755450684
20,60,258.7,0.7137090775582733,259.4137090775583
20,60,226.1,-0.9418888596499554,225.15811114035003
20,60,245.4,-1.363398331881266,244.03660166811875
