sex,exercise_group,age,heart_rate
M,control,72.1872547782902,69.54557043761437
M,moderate intensity,73.17484948952749,70.66954149988534
M,high intensity,73.85562068437993,68.64439094016969
M,control,74.2612484206938,74.52743103499269
M,moderate intensity,72.91088767626731,71.21113740766927
M,high intensity,73.30862277089474,58.36960670968431
M,control,73.329323663244807,63.803540466213555
M,moderate intensity,73.05441744315321,70.0649219723496
M,high intensity,72.11617224013762,52.78064105213205
M,control,73.06627283489907,68.79870910818069
M,moderate intensity,72.90030144746899,67.29519955969002
M,high intensity,71.997997032278107,64.5325133256348
M,control,71.90096111327202,76.05277408182675
M,moderate intensity,73.4950709865757,67.96283952872353
M,high intensity,73.28777701012615,62.56589201327758
M,control,73.57048610561674,62.07126033809844
M,moderate intensity,72.70460286631453,75.38991367345692
M,high intensity,72.02518450649903,55.50488348159934
M,control,73.25408195819378,70.54347597391053
M,moderate intensity,71.12277013712773,75.25257961377217
M,high intensity,73.74120197010434,66.6507787775722
M,control,73.96370527245048,67.3129468790366
M,moderate intensity,73.35915005711682,67.75961077881767
M,high intensity,73.75112214450597,56.6860010238545
M,control,72.44093699382148,62.2650461825282
M,moderate intensity,71.54986037175792,72.45529245073702
M,high intensity,73.63193850457036,67.78703118617567
M,control,75.23286640134174,61.74171922554752
M,moderate intensity,72.174843004911,74.32836094964004
M,high intensity,72.11391882860524,66.74987413406818
M,control,72.3256835313918,62.815026657813505
M,moderate intensity,73.76700216090555,67.45271462470608
M,high intensity,74.74988171553211,50.93785430468236
M,control,72.90508443659498,66.08397807145786
M,moderate intensity,72.97135378276805,77.1535711610356
M,high intensity,72.41845161516851,70.01468927406889
M,control,73.89802151275035,60.73453760836626
M,moderate intensity,73.15625158509688,69.93123155002627
M,high intensity,73.21759234566423,69.07414606696427
M,control,71.21179501532714,63.091870760774974
M,moderate intensity,71.78980512576327,62.13629880243994
M,high intensity,74.01828348983192,65.24619428976115
M,control,70.87570946615952,59.469281675975274
M,moderate intensity,73.86339214874076,64.34809038964703
M,high intensity,74.98836111156112,73.7387207103445
M,control,72.43548646572921,72.7874985368435
M,moderate intensity,72.90845504857143,72.57940098034763
M,high intensity,71.62194111037755,67.33238299781479
M,control,70.36343922801073,63.437953826956836
M,moderate intensity,72.46288166934276,72.22894844495178
M,high intensity,73.00545220848875,56.23937026870287
M,control,72.27252076509347,69.23454700396391
M,moderate intensity,73.22771774798416,71.81548810847555
M,high intensity,71.6272499539371,57.9292694787583
M,control,71.87323312991484,62.546705666229315
M,moderate intensity,72.80898279763936,72.03941935588483
M,high intensity,71.71693160969508,63.92226024775594
M,control,72.45076026815556,62.906510325951764
M,moderate intensity,73.14543234360472,75.43606264561663
M,high intensity,73.4912238079267,61.20742948315278
M,control,72.61965234057512,74.48393686127001
M,moderate intensity,73.58543956236188,70.41038007685287
M,high intensity,73.62424690730785,54.7320323564344
M,control,73.6503254106614,71.59920694300462
M,moderate intensity,72.4113870395583,66.1570473075385
M,high intensity,72.78696844251955,66.97277399868952
M,control,70.59436900829681,77.13154323998896
M,moderate intensity,72.73187000803655,71.69992761788116
M,high intensity,70.91681386164295,61.70291566594685
M,control,74.00043277777722,61.4536084111207
M,moderate intensity,72.8469691657832,64.32890422603074
M,high intensity,72.78824300512224,57.37880211963216
M,control,72.00903600792292,65.95092905746907
M,moderate intensity,72.39114110152187,64.92029375961232
M,high intensity,72.39825873615523,71.41166762875389
M,control,72.38589643403127,63.00089225705596
M,moderate intensity,72.15554643177032,68.47366321634053
M,high intensity,73.9682374019532,53.713922817704294
M,control,73.40654642832558,61.69259147287181
M,moderate intensity,71.88244909158766,69.33347884712607
M,high intensity,73.52562215614614,56.03030722747221
M,control,72.06343455177225,65.29850987608748
M,moderate intensity,72.89328157609422,78.29098048694101
M,high intensity,72.62694338012577,63.356210253183775
M,control,72.65039983353442,65.50099624282362
